Id,Action,Extension,Date,Name,"IP Address"
135,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:33:01 UTC","CCP User",Disabled
136,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:33:01 UTC","CCP User",Disabled
137,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:33:17 UTC","CCP User",Disabled
138,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:33:17 UTC","CCP User",Disabled
139,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:33:31 UTC","CCP User",Disabled
140,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:33:31 UTC","CCP User",Disabled
141,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:34:15 UTC","CCP User",Disabled
142,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:34:15 UTC","CCP User",Disabled
143,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:35:15 UTC","CCP User",Disabled
144,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:35:15 UTC","CCP User",Disabled
145,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Articles,"2023-11-28 09:35:50 UTC","CCP User",Disabled
146,"User kupul-ca performed a check in to table #__content",Check-in,"2023-11-28 09:35:50 UTC","CCP User",Disabled
147,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-28 09:41:33 UTC","CCP User",Disabled
148,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-28 09:41:33 UTC","CCP User",Disabled
149,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-28 09:43:13 UTC","CCP User",Disabled
150,"User kupul-ca performed a check in to table #__modules",Check-in,"2023-11-28 09:43:13 UTC","CCP User",Disabled
151,PLG_SYSTEM_ACTIONLOGS_CONTENT_UPDATED,Modules,"2023-11-28 09:44:58 UTC","CCP User",Disabled
